1,Reginald,1000,1,1000
2,John,1500,2,3000
3,William,2000,3,6000
4,James,1000,1,1000
5,Charles,1500,2,3000
6,George,2000,3,6000
7,Frank,1750,1,1750
8,Joseph,1800,2,3600
9,Thomas,1850,3,5550
10,Henry,1900,1,1900
11,Robert,1950,2,3900
12,Edward,2000,3,6000
13,Harry,1000,1,1000
14,Walter,1500,2,3000
15,Arthur,2000,3,6000
16,Fred,1750,1,1750
17,Albert,1800,2,3600
18,Samuel,1850,3,5550
19,David,1900,1,1900
20,Louis,1950,2,3900
21,Joe,2000,3,6000
22,Charlie,1000,1,1000
23,Clarence,1500,2,3000
24,Richard,2000,3,6000
25,Andrew,1750,1,1750
26,Daniel,1800,2,3600
27,Ernest,1850,3,5550
28,Will,1900,1,1900
29,Jesse,1950,2,3900
30,Oscar,2000,3,6000
31,Lewis,1000,1,1000
32,Peter,1500,2,3000
33,Benjamin,2000,3,6000
34,Frederick,1750,1,1750
35,Willie,1800,2,3600
36,Alfred,1850,3,5550
37,Sam,1900,1,1900
38,Roy,1950,2,3900
39,Herbert,2000,3,6000
40,Jacob,1000,1,1000
41,Tom,1500,2,3000
42,Elmer,2000,3,6000
43,Carl,1750,1,1750
44,Lee,1800,2,3600
45,Howard,1850,3,5550
46,Martin,1900,1,1900
47,Michael,1950,2,3900
48,Bert,2000,3,6000
49,Herman,1000,1,1000
50,Jim,1500,2,3000
51,Francis,2000,3,6000
52,Harvey,1750,1,1750
53,Earl,1800,2,3600
54,Eugene,1850,3,5550
55,Ralph,1900,1,1900
56,Ed,1950,2,3900
57,Claude,2000,3,6000
58,Edwin,1000,1,1000
59,Ben,1500,2,3000
60,Charley,2000,3,6000
61,Paul,1000,1,1000
62,Edgar,1500,2,3000
63,Isaac,2000,3,6000
64,Otto,1750,1,1750
65,Luther,1800,2,3600
66,Lawrence,1850,3,5550
67,Ira,1900,1,1900
68,Patrick,1950,2,3900
69,Guy,2000,3,6000
70,Oliver,1000,1,1000
71,Theodore,1500,2,3000
72,Hugh,2000,3,6000
73,Clyde,1750,1,1750
74,Alexander,1800,2,3600
75,August,1850,3,5550
76,Floyd,1900,1,1900
77,Homer,1950,2,3900
78,Jack,2000,3,6000
79,Leonard,1000,1,1000
80,Horace,1500,2,3000
81,Marion,2000,3,6000
82,Philip,1750,1,1750
83,Allen,1800,2,3600
84,Archie,1850,3,5550
85,Stephen,1900,1,1900
86,Chester,1950,2,3900
87,Willis,2000,3,6000
88,Raymond,1000,1,1000
89,Rufus,1500,2,3000
90,Warren,2000,3,6000
91,Jessie,1750,1,1750
92,Milton,1800,2,3600
93,Alex,1850,3,5550
94,Leo,1900,1,1900
95,Julius,1950,2,3900
96,Ray,2000,3,6000
97,Sidney,1000,1,1000
98,Bernard,1500,2,3000
99,Dan,2000,3,6000
100,Jerry,1750,1,1750
101,Calvin,1800,2,3600
102,Perry,1850,3,5550
103,Dave,1900,1,1900
104,Anthony,1950,2,3900
105,Eddie,2000,3,6000
106,Amos,1000,1,1000
107,Dennis,1500,2,3000
108,Clifford,2000,3,6000
109,Leroy,1750,1,1750
110,Wesley,1800,2,3600
111,Alonzo,1850,3,5550
112,Garfield,1900,1,1900
113,Franklin,1950,2,3900
114,Emil,2000,3,6000
115,Leon,1000,1,1000
116,Nathan,1500,2,3000
117,Harold,2000,3,6000
118,Matthew,1000,1,1000
119,Levi,1500,2,3000
120,Moses,2000,3,6000
121,Everett,1750,1,1750
122,Lester,1800,2,3600
123,Winfield,1850,3,5550
124,Adam,1900,1,1900
125,Lloyd,1950,2,3900
126,Mack,2000,3,6000
127,Fredrick,1000,1,1000
128,Jay,1500,2,3000
129,Jess,2000,3,6000
130,Melvin,1750,1,1750
131,Noah,1800,2,3600
132,Aaron,1850,3,5550
133,Alvin,1900,1,1900
134,Norman,1950,2,3900
135,Gilbert,2000,3,6000
136,Elijah,1000,1,1000
137,Victor,1500,2,3000
138,Gus,2000,3,6000
139,Nelson,1750,1,1750
140,Jasper,1800,2,3600
141,Silas,1850,3,5550
142,Christopher,1900,1,1900
143,Jake,1950,2,3900
144,Mike,2000,3,6000
145,Percy,1000,1,1000
146,Adolph,1500,2,3000
147,Maurice,2000,3,6000
148,Cornelius,1750,1,1750
149,Felix,1800,2,3600
150,Reuben,1850,3,5550
151,Wallace,1900,1,1900
152,Claud,1950,2,3900
153,Roscoe,2000,3,6000
154,Sylvester,1000,1,1000
155,Earnest,1500,2,3000
156,Hiram,2000,3,6000
157,Otis,1750,1,1750
158,Simon,1800,2,3600
159,Willard,1850,3,5550
160,Irvin,1900,1,1900
161,Mark,1950,2,3900
162,Jose,2000,3,6000
163,Wilbur,1000,1,1000
164,Abraham,1500,2,3000
165,Virgil,2000,3,6000
166,Clinton,1750,1,1750
167,Elbert,1800,2,3600
168,Leslie,1850,3,5550
169,Marshall,1900,1,1900
170,Owen,1950,2,3900
171,Wiley,2000,3,6000
172,Anton,1000,1,1000
173,Morris,1500,2,3000
174,Manuel,2000,3,6000
175,Phillip,1000,1,1000
176,Augustus,1500,2,3000
177,Emmett,2000,3,6000
178,Eli,1750,1,1750
179,Nicholas,1800,2,3600
180,Wilson,1850,3,5550
181,Alva,1900,1,1900
182,Harley,1950,2,3900
183,Newton,2000,3,6000
184,Timothy,1000,1,1000
185,Marvin,1500,2,3000
186,Ross,2000,3,6000
187,Curtis,1750,1,1750
188,Edmund,1800,2,3600
189,Jeff,1850,3,5550
190,Elias,1900,1,1900
191,Harrison,1950,2,3900
192,Stanley,2000,3,6000
193,Columbus,1000,1,1000
194,Lon,1500,2,3000
195,Ora,2000,3,6000
196,Ollie,1750,1,1750
197,Russell,1800,2,3600
198,Pearl,1850,3,5550
199,Solomon,1900,1,1900
200,Arch,1950,2,3900
201,Asa,2000,3,6000
202,Clayton,1000,1,1000
203,Enoch,1500,2,3000
204,Irving,2000,3,6000
